REG_ANS;CNPJ;Razao_Social
419761;1,95419E+13;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA
421545;2,287E+13;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA
421421;2,74525E+13;2CARE OPERADORA DE SAÚDE LTDA.
418030;1,31389E+13;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.
314668;1,75058E+13;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL
419621;1,76875E+13;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.
418901;1,04583E+13;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA
424293;5,82802E+13;ADC ADMINISTRADORA DE BENEFICIOS LTDA
421553;2,83158E+13;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.
416932;7,86783E+12;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA
422347;3,72015E+13;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA
335657;2,04181E+12;ADVANCE PLANOS DE SAÚDE LTDA
413283;3,69437E+12;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP
417424;1,11585E+13;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA
368920;2,03205E+13;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL
424285;5,75224E+13;AIRES OPERADORA DE SAUDE LTDA
417742;1,03873E+13;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS
421928;3,42666E+13;ALICE OPERADORA LTDA.
417289;7,67459E+12;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA
417459;1,11656E+13;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.
515;4,43963E+12;ALLIANZ SAÚDE S/A
423262;4,55685E+13;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA
419982;2,04593E+13;ALPHA DENTAL PLANO DE SAUDE LTDA ME
420255;2,21031E+13;ALTER ADMINISTRADORA DE BENEFICIOS S.A.
418773;1,67577E+13;ALUVES ADMINISTRADORA DE  BENEFICIOS LTDA
344800;6,2511E+13;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS
424234;5,63075E+13;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA
419052;1,6927E+13;AMAZÔNIA PLANOS DE SAÚDE LTDA
423351;4,66145E+13;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.
304531;1,71439E+13;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA
413330;4,25707E+12;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA
394734;6,784E+13;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA
401081;6,8668E+13;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ
418587;1,51311E+13;AMHA SAUDE S/A
421731;2,91749E+13;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP
